area,rooms,location,age,price
1967,2,Surat,6,9234000.0
1751,3,Warangal,7,6755000.0
552,3,Noida,17,3743000.0
1782,4,Jaipur,9,6823000.0
1839,3,Bareilly,5,5953000.0
3401,4,Chandigarh,0,23263000.0
1674,4,Madurai,16,6960000.0
1996,3,Hubli,30,4595000.0
1777,1,Mumbai,0,20087000.0
1040,2,Nagpur,13,4980000.0
2542,3,Rajkot,8,9854000.0
2288,5,Noida,21,13108000.0
2314,3,Nashik,2,10139000.0
1208,3,Guwahati,5,4342000.0
2711,4,Jaipur,1,9446000.0
888,2,Jaipur,3,3366000.0
2181,2,Delhi,7,15768000.0
3223,3,Salem,30,7024000.0
1156,6,Mumbai,2,12449000.0
1431,5,Kochi,14,7420000.0
1864,4,Coimbatore,14,8815000.0
1472,3,Hyderabad,1,9630000.0
792,3,Indore,44,2031000.0
1844,3,Ahmedabad,2,8229000.0
1109,4,Guwahati,0,5143000.0
2107,3,Mysore,41,4500000.0
1202,2,Chandigarh,5,9860000.0
2807,2,Chandigarh,4,18459000.0
1290,4,Delhi,4,12931000.0
1590,4,Gurgaon,0,12541000.0
2328,2,Noida,13,15367000.0
999,4,Lucknow,17,5092000.0
1947,4,Lucknow,7,10492000.0
2649,4,Bangalore,2,21166000.0
755,4,Hyderabad,7,5285000.0
1920,2,Chandigarh,34,8689000.0
1968,5,Noida,2,15185000.0
2308,3,Hyderabad,0,14899000.0
995,2,Visakhapatnam,5,4899000.0
941,4,Bangalore,28,5652000.0
2139,3,Mumbai,5,24484000.0
1993,5,Bhopal,15,7986000.0
1962,3,Delhi,0,19180000.0
2025,2,Delhi,4,15127000.0
1357,6,Delhi,10,12675000.0
1950,3,Guntur,8,6599000.0
1990,3,Bangalore,9,15929000.0
1335,3,Dehradun,6,6638000.0
3012,4,Raipur,11,8325000.0
2107,3,Shimla,21,8035000.0
1025,1,Bhopal,1,4719000.0
2226,3,Hyderabad,5,13036000.0
1166,5,Raipur,15,4159000.0
2311,3,Nagpur,18,8867000.0
2553,3,Nagpur,11,10412000.0
1266,4,Bhopal,5,6052000.0
2426,4,Hyderabad,3,15222000.0
2068,3,Ahmedabad,8,8611000.0
2334,4,Rural,5,4111000.0
3032,2,Pondicherry,13,11950000.0
1640,3,Gurgaon,15,11953000.0
1310,3,Suburban,9,3681000.0
1221,3,Delhi,19,9806000.0
1269,2,Gurgaon,1,10831000.0
1749,3,Nagpur,26,5700000.0
2021,1,Ludhiana,1,8859000.0
1979,4,Guwahati,13,7363000.0
2337,4,Jamshedpur,6,9192000.0
1808,3,Nashik,7,7610000.0
2744,3,Aligarh,31,4830000.0
1627,3,Bhopal,9,7315000.0
3568,5,Mumbai,2,41203000.0
2206,4,Bhopal,14,8183000.0
1242,4,Amritsar,25,3483000.0
1103,2,Hubli,31,2194000.0
2113,2,Noida,6,14810000.0
1654,2,Delhi,20,12170000.0
2264,3,Bangalore,15,15475000.0
2107,4,Patna,27,7159000.0
1752,4,Tiruchi,16,4940000.0
1249,4,Chennai,22,5249000.0
815,5,Nashik,6,3874000.0
1509,2,Kochi,7,8089000.0
2356,5,Bhopal,2,10551000.0
1939,4,Delhi,12,15928000.0
990,2,Bareilly,1,3263000.0
1912,4,Kochi,3,11455000.0
2050,3,Raipur,15,6836000.0
1225,3,Surat,28,4675000.0
1899,2,Vijayawada,19,6434000.0
1837,3,Ludhiana,10,7463000.0
1057,2,Jaipur,32,2741000.0
2032,2,Indore,12,8767000.0
2164,4,Bhubaneswar,2,10181000.0
2503,3,Kolkata,6,11812000.0
2484,3,Bhubaneswar,24,9130000.0
904,3,Varanasi,31,3032000.0
1190,5,Mumbai,29,8983000.0
2134,3,Vijayawada,0,11450000.0
2133,3,Surat,12,11434000.0
2134,4,Warangal,8,6840000.0
4304,2,Mumbai,7,40902000.0
2171,4,Vijayawada,0,10466000.0
2538,3,Raipur,5,8459000.0
2420,3,Visakhapatnam,7,12784000.0
2223,4,Bhopal,4,10933000.0
1595,6,Bhopal,18,5870000.0
2293,4,Dehradun,2,10418000.0
1297,2,Rural,5,2008000.0
1646,2,Lucknow,8,8832000.0
1484,3,Nagpur,9,6381000.0
1853,4,Pune,1,13147000.0
3304,3,Noida,0,26431000.0
586,5,Hyderabad,25,3710000.0
2246,1,Mumbai,1,22454000.0
751,3,Jamshedpur,12,2850000.0
1493,2,Ahmedabad,15,5418000.0
2507,4,Vijayawada,18,8675000.0
1841,3,Indore,1,8605000.0
1099,1,Guwahati,4,4504000.0
1335,4,Chandigarh,2,10139000.0
2241,3,Dehradun,0,10439000.0
1325,3,Vijayawada,11,5297000.0
1940,2,Kochi,1,10708000.0
1829,5,Warangal,2,6234000.0
1376,5,Ahmedabad,6,6428000.0
3193,2,Gurgaon,1,26784000.0
2212,2,Kochi,11,10576000.0
500,4,Srinagar,18,2107000.0
1921,4,Noida,11,12924000.0
1369,3,Delhi,6,13559000.0
2354,3,Mumbai,21,19979000.0
1284,4,Pondicherry,20,4744000.0
1725,6,Ludhiana,28,5370000.0
2128,4,Hyderabad,28,9700000.0
2362,2,Ranchi,19,7097000.0
1019,4,Jamshedpur,9,3879000.0
1582,2,Jodhpur,0,5998000.0
1491,3,Lucknow,15,7654000.0
1375,3,Amritsar,7,5864000.0
2947,4,Bhopal,1,13412000.0
2063,1,Jamshedpur,15,6889000.0
980,5,Gurgaon,6,8679000.0
2396,4,Coimbatore,5,14168000.0
3179,1,Mumbai,19,24522000.0
2471,2,Hyderabad,4,16668000.0
812,1,Vijayawada,3,4114000.0
1485,4,Visakhapatnam,3,8169000.0
2623,2,Mysore,3,10870000.0
1340,1,Nagpur,9,5748000.0
2088,2,Chandigarh,20,11580000.0
2303,3,Guwahati,38,5390000.0
1197,3,Delhi,0,9481000.0
1761,2,Nashik,3,8361000.0
500,5,Bhopal,7,3342000.0
1134,5,Mumbai,50,6283000.0
1635,3,Gurgaon,23,10393000.0
988,3,Surat,4,5119000.0
2861,3,Mumbai,5,26354000.0
870,4,Ahmedabad,0,5050000.0
1513,3,Mumbai,15,12889000.0
1884,3,Kolkata,17,7948000.0
2736,3,Aligarh,3,8068000.0
866,4,Lucknow,20,4171000.0
2556,3,Tiruchi,8,8516000.0
1806,4,Guwahati,7,7628000.0
1162,2,Chennai,6,6874000.0
2100,5,Guntur,10,7680000.0
1929,4,Ahmedabad,9,8008000.0
1409,4,Gurgaon,15,10210000.0
1845,2,Ahmedabad,7,7658000.0
1549,3,Chandigarh,3,13006000.0
1873,6,Delhi,1,16790000.0
2230,6,Guwahati,2,9279000.0
2830,2,Delhi,5,25109000.0
995,3,Kochi,33,3451000.0
3186,2,Delhi,14,25165000.0
531,3,Visakhapatnam,6,3190000.0
1701,2,Lucknow,2,9208000.0
2182,2,Mumbai,15,20000000.0
1982,3,Chandigarh,6,15136000.0
1395,2,Gurgaon,17,9298000.0
1664,6,Patna,20,6315000.0
1479,3,Bhopal,10,6490000.0
1416,3,Mysore,20,4668000.0
2352,5,Hyderabad,10,15230000.0
2032,4,Bangalore,8,16957000.0
1349,2,Pune,17,7295000.0
2384,3,Tiruchi,6,8769000.0
1999,3,Bangalore,11,16277000.0
2328,4,Kochi,5,12045000.0
2209,4,Delhi,33,12891000.0
1261,3,Amritsar,14,4540000.0
1435,3,Noida,24,7554000.0
2285,3,Bhopal,8,10764000.0
2196,3,Delhi,26,13602000.0
1786,2,Chandigarh,9,12521000.0
1876,5,Hyderabad,16,9984000.0
2630,4,Jaipur,16,7842000.0
1415,3,Pune,1,8582000.0
2155,3,Kochi,5,13303000.0
1668,2,Mangalore,50,3809000.0
1658,3,Noida,2,12657000.0
2514,4,Ranchi,5,9165000.0
2336,3,Raipur,45,4355000.0
2328,3,Srinagar,4,9717000.0
2648,3,Bhubaneswar,20,9910000.0
1813,4,Varanasi,6,7157000.0
2243,4,Pune,32,8640000.0
1598,4,Dehradun,10,6600000.0
2010,2,Gurgaon,42,8063000.0
1715,4,Kolkata,1,8264000.0
1863,4,Dehradun,3,8887000.0
2186,3,Bhopal,10,9358000.0
1268,4,Chennai,1,7333000.0
3160,5,Udaipur,16,9636000.0
1146,2,Coimbatore,32,4298000.0
1010,3,Mumbai,12,10038000.0
2552,4,Surat,14,13012000.0
2314,3,Salem,2,8310000.0
2205,5,Hyderabad,12,14085000.0
2208,2,Ahmedabad,6,9195000.0
1792,3,Chennai,16,8497000.0
1216,6,Pune,4,7922000.0
1849,2,Delhi,13,13247000.0
1359,3,Kochi,0,7557000.0
2433,3,Guwahati,4,10053000.0
1704,4,Chennai,10,9340000.0
1263,3,Varanasi,10,6029000.0
1591,2,Nagpur,10,7754000.0
2068,5,Pune,7,12164000.0
1433,3,Nagpur,11,6113000.0
1265,4,Surat,3,8173000.0
1958,3,Chennai,7,11295000.0
1959,2,Mumbai,2,21298000.0
1470,4,Noida,5,11333000.0
1493,2,Jaipur,12,4527000.0
1950,3,Kolkata,10,8700000.0
858,4,Madurai,0,4455000.0
885,3,Varanasi,14,3999000.0
1333,4,Warangal,10,4227000.0
1661,2,Mumbai,5,17093000.0
2002,4,Patna,10,7756000.0
2758,2,Nashik,0,12576000.0
2357,4,Visakhapatnam,16,10567000.0
1696,3,Rural,11,2503000.0
1787,4,Delhi,3,16466000.0
1148,2,Guwahati,0,5092000.0
1787,3,Vadodara,12,7870000.0
1612,4,Hyderabad,24,7877000.0
2009,5,Raipur,1,7612000.0
1262,2,Gurgaon,27,7820000.0
2137,4,Chennai,21,10890000.0
2796,2,Vadodara,7,13801000.0
1729,3,Kochi,5,9105000.0
2061,5,Hyderabad,3,12663000.0
2248,5,Jamshedpur,0,9463000.0
1539,3,Jaipur,3,5626000.0
1945,2,Indore,20,7394000.0
1808,2,Ahmedabad,7,7426000.0
1863,3,Chandigarh,0,15002000.0
1297,2,Chennai,8,7256000.0
1815,3,Kochi,15,8328000.0
2123,1,Hyderabad,16,10867000.0
2743,3,Kolkata,22,9806000.0
2423,5,Pune,15,11972000.0
3199,3,Gurgaon,0,28670000.0
1301,2,Mysore,6,5832000.0
2367,4,Indore,4,11451000.0
1919,6,Chandigarh,7,14298000.0
3223,3,Nagpur,18,13002000.0
1274,4,Bhubaneswar,0,5812000.0
1254,5,Ahmedabad,13,6429000.0
1410,3,Guwahati,6,5887000.0
500,4,Chennai,50,1810000.0
1458,3,Shimla,4,7381000.0
1306,6,Dehradun,8,5835000.0
1897,3,Vadodara,35,5459000.0
2022,5,Gurgaon,2,18441000.0
3019,3,Noida,10,21686000.0
2417,4,Guwahati,11,9701000.0
1425,3,Delhi,11,9258000.0
1216,5,Bhubaneswar,17,4608000.0
2119,4,Hyderabad,1,15740000.0
941,1,Guwahati,14,3247000.0
2990,1,Ranchi,2,10962000.0
2566,4,Surat,6,14617000.0
1495,2,Amritsar,29,4097000.0
686,4,Pune,2,4653000.0
2680,3,Raipur,14,8063000.0
1725,3,Madurai,12,6990000.0
2604,2,Bangalore,15,18135000.0
763,2,Indore,28,2656000.0
1410,3,Jodhpur,19,4096000.0
1803,4,Bangalore,9,13732000.0
1830,2,Visakhapatnam,2,8978000.0
1507,3,Guwahati,1,6236000.0
2204,2,Gurgaon,0,20339000.0
1106,5,Noida,8,8654000.0
1707,4,Kolkata,24,6251000.0
1878,3,Pune,2,12261000.0
2134,5,Salem,28,5661000.0
2262,4,Varanasi,2,9656000.0
1068,5,Delhi,26,7346000.0
802,3,Warangal,14,2483000.0
2630,2,Bangalore,3,22331000.0
2016,4,Hubli,46,3379000.0
1313,2,Lucknow,7,7637000.0
2808,3,Kochi,2,15389000.0
1875,3,Coimbatore,13,8645000.0
2566,2,Bangalore,2,19629000.0
1843,1,Agra,26,4809000.0
3139,3,Visakhapatnam,30,10554000.0
2940,4,Vadodara,0,15522000.0
1638,1,Udaipur,7,6069000.0
2431,2,Kochi,0,14790000.0
2219,4,Varanasi,5,10106000.0
2689,3,Gurgaon,14,19721000.0
1172,5,Hubli,5,4470000.0
2245,3,Warangal,32,4113000.0
2487,4,Kochi,3,13983000.0
656,3,Jamshedpur,2,2675000.0
1030,2,Chennai,12,5449000.0
500,5,Visakhapatnam,29,2422000.0
1624,5,Delhi,0,14997000.0
2266,4,Vijayawada,19,8717000.0
2776,4,Jamshedpur,9,10088000.0
1848,1,Salem,0,6390000.0
2858,4,Raipur,12,9856000.0
902,3,Pune,6,5228000.0
692,3,Kochi,6,4099000.0
1763,3,Coimbatore,1,9846000.0
2049,3,Mysore,13,8518000.0
1778,4,Coimbatore,1,10382000.0
500,3,Kochi,7,3108000.0
1742,3,Rajkot,21,6322000.0
952,2,Visakhapatnam,16,4135000.0
2235,4,Srinagar,2,9704000.0
2038,2,Kochi,20,9537000.0
1189,2,Jamshedpur,25,3354000.0
1465,1,Aligarh,16,4258000.0
1111,2,Pune,50,3500000.0
1759,2,Delhi,0,16789000.0
2420,2,Nagpur,0,11055000.0
1159,3,Hyderabad,11,6552000.0
2127,2,Hyderabad,4,13315000.0
1455,5,Agra,6,6553000.0
1284,2,Chandigarh,15,8762000.0
1730,4,Mumbai,28,12724000.0
1127,3,Nagpur,3,6611000.0
1440,3,Chennai,2,8021000.0
1021,2,Chandigarh,16,7583000.0
3077,2,Mumbai,22,21669000.0
1822,4,Delhi,17,13556000.0
1345,3,Pune,1,8670000.0
1939,3,Rajkot,17,6837000.0
1726,3,Bhubaneswar,6,8125000.0
1656,3,Gurgaon,11,12120000.0
2199,4,Bangalore,6,18974000.0
2292,4,Guntur,0,7772000.0
1455,3,Bhubaneswar,50,3302000.0
1425,4,Hyderabad,2,9229000.0
1621,3,Chennai,13,8414000.0
500,4,Mumbai,3,6228000.0
815,5,Ranchi,0,3542000.0
2688,3,Warangal,50,4822000.0
2869,4,Delhi,0,24374000.0
1638,4,Hyderabad,11,10243000.0
2174,3,Pune,16,12460000.0
2002,4,Pune,10,14185000.0
3801,2,Guntur,17,10631000.0
2527,3,Chennai,2,13992000.0
1716,1,Gurgaon,0,13248000.0
1178,2,Delhi,9,8994000.0
755,3,Ludhiana,6,3687000.0
1932,3,Kolkata,17,8806000.0
1308,3,Chennai,0,8406000.0
875,6,Aligarh,0,3345000.0
1379,3,Mumbai,4,15129000.0
1096,3,Pune,18,6344000.0
2896,3,Surat,7,14986000.0
2373,2,Nagpur,18,10398000.0
1794,4,Rajkot,12,6694000.0
2761,3,Pune,6,16454000.0
1850,3,Noida,21,11222000.0
1240,2,Kolkata,13,4763000.0
2790,3,Dehradun,6,11795000.0
2150,5,Gurgaon,1,19151000.0
1125,2,Chennai,5,6410000.0
1676,2,Bhopal,0,7152000.0
1230,2,Bangalore,7,10331000.0
901,5,Shimla,0,4926000.0
2402,4,Kolkata,17,9085000.0
3041,5,Mysore,5,13242000.0
890,5,Rural,11,1462000.0
2165,5,Mumbai,4,24520000.0
1377,3,Pune,25,5745000.0
1483,3,Srinagar,8,5192000.0
1414,4,Delhi,16,10015000.0
1238,3,Lucknow,12,5278000.0
1831,1,Hyderabad,14,10653000.0
1259,3,Kochi,8,8226000.0
1975,4,Mumbai,50,11510000.0
1767,2,Hyderabad,1,11421000.0
1644,4,Kolkata,8,8164000.0
1210,4,Pune,5,8046000.0
1425,2,Gurgaon,5,12082000.0
2291,2,Hyderabad,16,13296000.0
2125,2,Guwahati,0,8069000.0
1164,3,Surat,5,7567000.0
1864,3,Jaipur,6,6634000.0
2288,3,Ahmedabad,8,10219000.0
714,5,Chennai,6,4607000.0
2153,2,Indore,4,9938000.0
1369,4,Coimbatore,9,6381000.0
2170,3,Rural,28,2522000.0
1303,4,Ludhiana,4,5915000.0
626,3,Coimbatore,1,3978000.0
742,3,Mumbai,8,7424000.0
1831,1,Coimbatore,22,7424000.0
1968,2,Indore,1,9309000.0
1212,3,Mangalore,22,4522000.0
2215,3,Jamshedpur,14,7949000.0
720,2,Kochi,9,4302000.0
1757,4,Chennai,7,9577000.0
1012,5,Rajkot,6,4191000.0
1376,3,Kolkata,15,5628000.0
1830,2,Gurgaon,7,14608000.0
1240,4,Nashik,12,5096000.0
1550,2,Jaipur,0,5246000.0
2454,4,Ahmedabad,33,6827000.0
1425,3,Chandigarh,7,8805000.0
2343,2,Visakhapatnam,29,8250000.0
1065,3,Guntur,11,3552000.0
2144,3,Hyderabad,12,12431000.0
2737,4,Chennai,2,16291000.0
500,2,Suburban,0,1689000.0
1282,3,Bhopal,2,6348000.0
2175,2,Mumbai,9,19088000.0
1668,4,Mangalore,0,7592000.0
2041,3,Kolkata,25,7150000.0
1407,5,Coimbatore,6,7266000.0
1856,4,Gurgaon,7,15314000.0
1698,4,Hyderabad,1,11344000.0
2559,2,Bhopal,23,9087000.0
1965,3,Pune,12,12513000.0
2019,3,Chennai,1,11507000.0
1532,1,Guwahati,2,5999000.0
1483,5,Visakhapatnam,0,8562000.0
1518,4,Hubli,11,4688000.0
2056,2,Chandigarh,1,13979000.0
1526,4,Indore,7,7961000.0
1988,1,Delhi,14,14460000.0
3149,2,Gurgaon,8,28070000.0
2366,2,Delhi,7,19712000.0
1588,3,Gurgaon,1,14374000.0
2580,4,Noida,8,20439000.0
1534,2,Hyderabad,0,11709000.0
500,4,Vijayawada,0,2965000.0
1144,2,Gurgaon,22,8062000.0
583,6,Delhi,31,4490000.0
1571,5,Noida,0,12365000.0
1811,4,Coimbatore,12,8390000.0
2889,3,Kochi,3,16754000.0
2012,2,Nagpur,7,10308000.0
1657,2,Udaipur,8,5094000.0
2339,3,Mumbai,8,21828000.0
500,3,Bhubaneswar,12,2511000.0
1953,4,Gurgaon,2,18788000.0
2301,2,Noida,16,15802000.0
838,3,Vadodara,3,4369000.0
2543,4,Vadodara,27,9424000.0
2020,3,Bangalore,0,16201000.0
1530,4,Ludhiana,0,7622000.0
2211,3,Hyderabad,1,13535000.0
3275,2,Ahmedabad,13,12209000.0
1918,2,Kochi,1,10003000.0
1961,3,Agra,2,9486000.0
1501,2,Amritsar,4,6105000.0
1247,3,Rajkot,12,5071000.0
2339,5,Surat,11,9895000.0
1243,5,Hyderabad,25,6426000.0
1846,3,Nashik,1,9092000.0
1489,5,Aligarh,2,5730000.0
2111,6,Guwahati,3,9716000.0
2016,3,Chandigarh,4,15222000.0
2474,5,Lucknow,14,9955000.0
1468,6,Salem,8,5469000.0
1624,4,Delhi,9,14232000.0
1163,3,Vadodara,4,5811000.0
1511,4,Hyderabad,16,8689000.0
2045,3,Delhi,7,17130000.0
2292,6,Kolkata,7,11702000.0
1200,2,Chennai,3,7434000.0
2365,5,Delhi,4,23086000.0
2681,2,Vijayawada,9,10031000.0
2068,1,Dehradun,0,9641000.0
3019,5,Nashik,33,7892000.0
1297,5,Jodhpur,9,4524000.0
990,3,Delhi,12,9485000.0
643,6,Kolkata,0,4200000.0
2772,5,Vadodara,0,13644000.0
2225,5,Mangalore,39,5529000.0
1763,3,Varanasi,2,8588000.0
1981,6,Mumbai,2,19943000.0
1068,4,Chennai,25,4531000.0
3389,5,Noida,19,20079000.0
1883,3,Ludhiana,12,7958000.0
1871,3,Agra,14,7022000.0
2271,5,Bhopal,0,10336000.0
2112,3,Delhi,13,16116000.0
1945,4,Amritsar,3,8154000.0
1286,6,Agra,3,5700000.0
2106,4,Pune,6,13061000.0
3023,3,Indore,6,14663000.0
2674,2,Chennai,9,14814000.0
2835,3,Nashik,15,10604000.0
1467,4,Pune,27,6737000.0
1156,1,Mumbai,7,11105000.0
1718,2,Chandigarh,10,9877000.0
1836,3,Mumbai,8,16573000.0
2511,5,Mumbai,0,26385000.0
699,2,Pune,21,3563000.0
2794,1,Rajkot,15,8982000.0
1697,3,Tiruchi,38,3260000.0
1522,2,Surat,5,8723000.0
1142,2,Nashik,20,3553000.0
724,2,Delhi,15,5943000.0
2335,3,Bhubaneswar,1,11679000.0
1847,2,Lucknow,42,4572000.0
961,5,Kochi,1,6627000.0
958,2,Guwahati,21,3157000.0
1581,6,Bangalore,7,13183000.0
2884,4,Lucknow,11,12362000.0
1631,4,Coimbatore,8,8855000.0
822,2,Bhopal,0,4117000.0
1640,4,Varanasi,35,4455000.0
1622,4,Ludhiana,24,5178000.0
500,3,Shimla,10,2448000.0
1764,3,Suburban,8,4657000.0
1649,2,Mumbai,4,17291000.0
2252,3,Noida,2,18474000.0
3001,2,Noida,18,16476000.0
2532,6,Srinagar,8,9866000.0
1625,4,Ahmedabad,13,7635000.0
1080,1,Mumbai,4,10630000.0
3472,3,Delhi,26,20713000.0
1838,4,Hubli,45,3071000.0
1809,2,Hubli,12,4327000.0
1784,4,Chennai,23,7509000.0
1928,2,Guntur,3,6985000.0
1706,3,Pondicherry,43,3963000.0
1427,4,Nashik,3,5724000.0
1444,3,Chennai,3,9039000.0
1778,3,Bangalore,30,9826000.0
1446,4,Hyderabad,4,9371000.0
1336,3,Pune,5,8065000.0
1869,4,Guwahati,23,6051000.0
1634,4,Jaipur,23,4985000.0
2777,2,Nashik,1,12157000.0
500,1,Jodhpur,4,1916000.0
2509,4,Chandigarh,3,19729000.0
2609,3,Pune,27,10339000.0
500,4,Kochi,4,3471000.0
1577,2,Hyderabad,3,10292000.0
1558,4,Guwahati,4,6843000.0
885,2,Guwahati,25,2545000.0
1294,5,Guntur,2,5502000.0
1078,4,Guwahati,2,4477000.0
2938,3,Visakhapatnam,21,12524000.0
2408,4,Noida,2,17882000.0
2626,3,Indore,8,13206000.0
2269,2,Pune,7,11664000.0
1066,3,Nashik,0,5398000.0
1459,4,Dehradun,11,6037000.0
2118,6,Madurai,13,7679000.0
1005,4,Salem,2,4332000.0
2263,3,Aligarh,10,7102000.0
1643,4,Madurai,1,7056000.0
1556,2,Srinagar,16,5546000.0
2262,3,Jaipur,9,8741000.0
2088,3,Delhi,6,16055000.0
1565,6,Vijayawada,39,3277000.0
2553,3,Nashik,36,6333000.0
1097,2,Bareilly,0,3788000.0
2200,2,Mumbai,4,22484000.0
2185,4,Rajkot,3,9439000.0
1598,3,Kolkata,36,4712000.0
2011,5,Lucknow,2,10421000.0
986,3,Lucknow,0,5679000.0
2400,3,Mumbai,2,26410000.0
1679,4,Vijayawada,16,6659000.0
1460,3,Delhi,8,12469000.0
2481,4,Salem,41,5154000.0
1342,4,Nagpur,20,5287000.0
884,4,Kolkata,2,4895000.0
788,5,Ludhiana,5,4285000.0
2193,4,Warangal,20,5947000.0
967,4,Bhubaneswar,15,4038000.0
2940,6,Hyderabad,4,20770000.0
500,1,Jaipur,10,1584000.0
2902,5,Bangalore,10,22445000.0
1937,2,Jamshedpur,25,5272000.0
1737,2,Pune,0,10674000.0
1445,4,Srinagar,3,6419000.0
2059,3,Bangalore,14,14624000.0
1775,3,Jodhpur,12,6616000.0
2517,3,Surat,5,12855000.0
1874,2,Dehradun,23,6329000.0
1897,2,Surat,15,9419000.0
1563,2,Chennai,10,8374000.0
1762,3,Nashik,3,8981000.0
2000,4,Ahmedabad,4,9453000.0
688,4,Bangalore,12,5115000.0
923,3,Mysore,40,2421000.0
2283,5,Jamshedpur,23,7328000.0
1911,3,Delhi,2,18209000.0
1680,2,Warangal,16,4370000.0
1811,5,Pune,33,7005000.0
2025,3,Srinagar,1,8534000.0
1449,6,Mumbai,13,13676000.0
1294,3,Kochi,1,7370000.0
1927,4,Chennai,0,11482000.0
1164,2,Nagpur,44,3150000.0
2065,5,Kolkata,2,12028000.0
693,2,Indore,19,2791000.0
2468,2,Mumbai,9,26240000.0
2107,2,Patna,11,8430000.0
1966,3,Guwahati,1,8288000.0
2438,3,Mumbai,16,20803000.0
2882,6,Suburban,4,7435000.0
2459,5,Warangal,11,7082000.0
603,4,Visakhapatnam,6,3677000.0
968,4,Noida,2,8889000.0
1393,5,Udaipur,1,4962000.0
1816,5,Vijayawada,5,8948000.0
2136,5,Chandigarh,0,18526000.0
